sample_id,source,mode,channel,angle_deg,value
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,95,0.00010146918066311628
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,100,9.143027273239568e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,105,9.109411621466279e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,110,9.96362286969088e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,115,0.000117268311441876
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,120,0.00013594301708508283
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,125,0.0001545027771499008
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,130,0.00017149247287306935
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,135,0.00017973786452785134
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,140,0.00018064025789499283
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,145,0.00017031820607371628
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,150,0.00015449870261363685
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,155,0.00013890862464904785
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,160,0.0001225858140969649
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,165,0.00010602139809634537
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,0,0.026223549619317055
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,5,0.026202380657196045
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,10,0.026198795065283775
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,15,0.026234449818730354
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,20,0.026145854964852333
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,25,0.0262240432202816
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,30,0.026216942816972733
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,35,0.026234271004796028
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,40,0.026103807613253593
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,45,0.026176951825618744
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,50,0.026089293882250786
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,55,0.026078609749674797
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,60,0.02604210376739502
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,65,0.026026006788015366
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,70,0.026195164769887924
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,75,0.026105469092726707
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,80,0.026091815903782845
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,85,0.02614755928516388
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,90,0.026181723922491074
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,95,0.02619197778403759
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,100,0.02621813304722309
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,blank_corr,PPL,R,105,0.026232605800032616
